0.81961	0.47451	0.34118
0.81961	0.47451	0.33333
0.81569	0.47451	0.32549
0.81569	0.47059	0.31373
0.81569	0.47059	0.30588
0.81569	0.47059	0.29804
0.81176	0.46667	0.2902
0.81176	0.46667	0.27843
0.81176	0.46667	0.27059
0.81176	0.46275	0.26275
0.80784	0.46275	0.2549
0.80784	0.46275	0.24706
0.80784	0.45882	0.23529
0.80784	0.45882	0.22745
0.80392	0.45882	0.21961
0.80392	0.4549	0.21176
0.80392	0.4549	0.2
0.80392	0.4549	0.19216
0.8	0.45098	0.18431
0.8	0.45098	0.17647
0.8	0.45098	0.16863
0.8	0.44706	0.15686
0.79608	0.44706	0.14902
0.79608	0.44706	0.14118
0.79608	0.44314	0.13333
0.79608	0.44314	0.12157
0.79216	0.44314	0.11373
0.79216	0.43922	0.10588
0.79216	0.43922	0.098039
0.79216	0.43922	0.090196
0.78431	0.42745	0.090196
0.77647	0.41569	0.090196
0.77255	0.40392	0.090196
0.76471	0.39216	0.090196
0.76078	0.38431	0.090196
0.75294	0.37255	0.094118
0.7451	0.36078	0.094118
0.74118	0.34902	0.094118
0.73333	0.34118	0.094118
0.72941	0.32941	0.094118
0.72157	0.31765	0.094118
0.71765	0.30588	0.098039
0.7098	0.29412	0.098039
0.70196	0.28627	0.098039
0.69804	0.27451	0.098039
0.6902	0.26275	0.098039
0.68627	0.25098	0.098039
0.67843	0.24314	0.10196
0.67059	0.23137	0.10196
0.66667	0.21961	0.10196
0.65882	0.20784	0.10196
0.6549	0.19608	0.10196
0.64706	0.18824	0.10196
0.64314	0.17647	0.10588
0.63529	0.16471	0.10588
0.62745	0.15294	0.10588
0.62353	0.1451	0.10588
0.61569	0.13333	0.10588
0.61176	0.12157	0.10588
0.60392	0.1098	0.1098
0.59608	0.098039	0.1098
0.59216	0.090196	0.1098
0.58431	0.078431	0.1098
0.58039	0.066667	0.1098
0.57255	0.054902	0.1098
0.56863	0.047059	0.11373
0.56863	0.047059	0.11373
0.56863	0.047059	0.11373
0.56863	0.047059	0.11373
